,Description,num1,div,num2,unit
1693,PICKLE CHIP BTR 5/16 400/500,1,/,2,gal
1694,CHIVE FRESH,1,/,8,oz
1695,CRACKER GRAHAM HNY W/FIBER,150,/,3,ct
1696,SKEWER WOOD 4.5 BIODEGRADABLE,10,/,,10/0100
1697,CHICKEN BRST HVS RAW B/I,48,/,8.9,oz
1698,ASPARAGUS SPEAR MED IQF P,6,/,2.5,lb
1699,BAG PAPER WHT SHOPR W/HDL 65#,1,/,250,ct
1700,BAG SANDWICH NAT DOUBLE VIEW,1,/,500,ct
1701,CABBAGE NAPA FRESH,1,/,3,ct
1702,DRINK SMOOTHIE STW/BAN YOG PKT,24,/,11,oz
1703,SAUSAGE PORK LNK SKINLESS 1 OZ,1,/,10,lb
1704,YOGURT VANILLA LIGHT & FIT,6,/,32,oz
1705,VEGETARIAN PATTY GARDN BURGER,48,/,3.5,oz
1706,HORSERADISH WHITE PREPARED,4,/,1,gal
1707,EGG WHL LIQ FRSH W/CITRIC TFF,15,/,2,lb
1708,CHEESE MASCARPONE TUB USA,12,/,16,oz
1709,CHEESE MOZZ FRSH OVOLINI 4 OZ,2,/,3,lb
1710,CHEESE HAVARTI W/DILL,1,/,9,#avg
1711,DOUGH COOKIE WHT MAC NUT 2OZ,5,/,4,lb
1712,CHICKEN CVP BRST RANDOM,2,/,10,lb
1713,CHEESE PARM SHRD FANCY USA,4,/,5,lb
1714,SAUSAGE CHORIZO BULK,2,/,5,lb
1715,SAUSAGE ITAL LNK N/C 4X1,40,/,4,oz
1716,BREAD PULLMAN WHITE 1/2 SLI,10,/,24,oz
1717,FORK PLAS PP HVY WHT FULL LEN,1,/,1000,ct
1718,SAUSAGE ITAL LNK MILD,40,/,4,oz
1719,APPLESAUCE IN JC FROM CONC CUP,72,/,4,oz
1720,LETTUCE GREEN LEAF FDSVC,1,/,12,ct
1721,EGGROLL VEGETABLE WHL GRAIN,130,/,3.1,oz
1722,POTATO FRY SKON WAFFLE,6,/,4.5,lb
1723,CONTAINER PAPER RND 8/LID,250,/,,ea
1724,TRAY FOOD PAPR 2LB,4,/,250,ct
1725,CHEESE CREAM NEUFCH LOAF,10,/,3,lb
1726,PARSLEY ITALIAN FRESH HERB,1,/,4,oz
1727,CEREAL RICE KRISP BOWL PK WGRN,96,/,1,oz
1728,PICK PRISM PLAS TRI CRYST 3.5,1,/,2500,ct
1729,DOUGH COOKIE CHOC CHIP 2 OZ,160,/,2,oz
1730,ICE CREAM CINNAMON,1,/,3,gal
1731,AVOCADO HASS RIPE FRESH,1,/,60,ct
1732,DOUGH PIZZA SHEETED 7IN,96,/,5.5,oz
1733,CORN DOG TURKEY MINI,240,/,.67,oz
1734,COFFEE LIQUID FRZ CONC COLMBN,2,/,1.25,lt
1735,DOUGH PIZZA SHEETED 12X16,22,/,24,oz
1736,WATER DISTILLED,6,/,1,gal
1737,GRAIN SPECIALTY QUINOA,1,/,10,lb
1738,JUICE FRUIT PUNCH TWISTER,12,/,20,oz
1739,ICE CREAM SLI VANILLA,72,/,4,oz
1740,TOPPING WHPD IN BAG,12,/,16,oz
1741,CHEESE HAVARTI PLAIN,1,/,9,#avg
1742,PATTY VEG VEGGIE BURGER VEGAN,48,/,3.4,oz
1743,GRAPE RED SDLS FRESH,1,/,4,lb
1744,DOUGH COOKIE WHT CHOC MAC 2 OZ,160,/,2,oz
1745,PEAR DICED IN JUICE,36,/,4,oz
1746,HAM PROSCIUTTO DIPARMA ITALY,1,/,15-18,#
1747,WATER SPRING DEP,48,/,8,oz
1748,POTSTICKER VEG 1 OZ,6,/,30,ct
1749,TOMATO VINE RIPE ORGANIC,1,/,,flat
1750,CUP PLAS PET 16OZ ULTRA CLR,20,/,50,ct
1751,CHIP POTATO KTL JALCHDR 40%LF,64,/,1.375,z
1752,KALE FRESH CHOPPED RNBOW,4,/,2,lb
1753,CONTAINER FOOD ECOTANR DFRE-12,1000,/,12,oz
1754,VINEGAR BALSAMIC ITALY 6%GLS,6,/,17,oz
1755,CHEESE CHEDDAR JACK FANCY SHRD,4,/,5,lb
1756,CHEESE SWISS SNDW CUT GRADE A,2,/,8,#avg
1757,CHEESE GOUDA SMKD SHRED,6,/,5,lb
1758,NAPKIN BEV 9.25X9.25 2PLY WHT,20,/,150,ct
1759,CROISSANT MARG SLI,48,/,2.5,oz
1760,APPLESAUCE FANCY SWEETENED,6,/,,#10
1761,CHIP CRACKER SRCRM & ONION,36,/,.87,oz
1762,CUTLERY PLASTIC KNF BULK SLV,600,/,1,cse
1763,YOGURT CHERRY LIGHT,12,/,6,oz
1764,YOGURT RASPBERRY LIGHT,12,/,6,oz
1765,SAUSAGE LINK ANDOUILLE 4X1,2,/,5,lb
1766,NUT PISTACHIO SHELLED,1,/,5,lb
1767,PEPPERONI STICK 3.5 DIAMETER,2,/,5,#avg
1768,CHIP TORTILLA BLUE CRN GLTN FR,24,/,,1.5
1769,BRATWURST LNK SKON 4X1,1,/,10,lb
1770,LETTUCE SHREDDED 1/4 IN FRESH,4,/,5,lb
1771,BOLOGNA SLI ALL-MT,6,/,2,lb
1772,BEEF TOP SIRL BUTT CH CAP OFF,4,/,7-9,#av
1773,TOMATO BULK 6X6 FRESH,1,/,25,lb
1774,GARLIC PEELED FRESH JAR,4,/,5,lb
1775,CHEESE PEPPER JACK LOAF,2,/,5,lb
1776,BEEF CHIPPED DRY CH,8,/,3,lb
1777,SUGAR BROWN LIGHT CANE,1,/,25,lb
1778,BOWL FOAM HVY LAM BLK 4-5OZ,10,/,125,ct
1779,CABBAGE NAPA CHINESE FRESH,1,/,30,lb
1780,SAUSAGE KIELBASA 8SMKD 3X1AVG,10,-,,jan
1781,SAUSAGE SMKD PK/TRKY/BF ROPE,1,/,11,lb
1782,EGGROLL VEGETABLE 3 OZ,6,/,12,ct
1783,SALMON SMKD SLI NORW,2,/,2.5-3,#
1784,MINT FRESH HERB,1,/,1,lb
1785,BACON TURKEY SHINGLE SLI 24CT,1,/,10,lb
1786,YOGURT FROZEN VANILLA ALASKAN,2,/,2,gal
1787,BROCCOLI FLORET MINI ICELESS,4,/,3,lb
1788,CEREAL FROOT LOOP REDSUG INDIV,96,/,1,oz
1789,HAIRNET NYLON LRG BLK LT WGT,1,/,144,ct
1790,SKEWER BAMBOO 10 IN,1,/,,10/0100
1791,WATER SPARKLING GRFRT,24,/,12,oz
1792,CHICKEN CVP BRST B/S 5 OZ,4,/,5,lb
1793,BOWL PLAS CLR PET 12OZ PRSNTBL,8,/,63,ct
1794,KALE FLOWERING TRIM&WASH FRESH,2,/,2.5,lb
1795,TRAY PLAS BLK DEEP,2500,/,4,oz
1796,PEPPER SERRANO FRESH,1,/,40,lb
1797,COFFEE DECAF LIQ FZ CONC COLMB,2,/,1.25,lt
1798,PARSLEY CLN/WASH FRESH HERB,4,/,1,lb
1799,BREADSTICK FRENCH PARBAKED,120,/,1.8,oz
1800,LEMON CH FRESH,1,/,115,ct
1801,LEMON CH FRESH,1,/,75,ct
1802,ORANGE NAVEL FANCY FRESH,1,/,138,ct
1803,NAPKIN BEV 9.5X9.5 2PLY RED,4,/,250,ct
1804,CONTAINER PAPER PCF DFMP-8,800,/,8,oz
1805,CHEESECAKE NEW YORK CRMY 16 CT,4,/,68,oz
1806,BATTER MUFFIN APPLE CINNAMON,6,/,3,lb
1807,PLATE PLAS CLR 6 CLSW RDG,10,/,18,ct
1808,YOGURT PLAIN LOFAT ORGANIC,6,/,32,oz
1809,CONTAINER PAPER #8 TK OUT KRFT,130,/,,ct
1810,MILK COCONUT UNSWEETENED,24,/,13.5,oz
1811,CONTAINER PAPER #8 TAKEOUT BLK,130,/,,ct
1812,MUSHROOM CRIMINI FRESH,1,/,5,lb
1813,BATTER MUFFIN LEMON POPPYSEED,6,/,3,lb
1814,BATTER MUFFIN CRANBERRY ORANGE,1,/,18,lb
1815,PORK CHOP CC SPCL 1412A 5 OZ,1,/,10,lb
1816,MUFFIN ENGLISH ORIG 2 OZ,6,/,12,ct
1817,JUICE ORANGE PREM CRTN,48,/,10,oz
1818,SAUSAGE PORK BULK ROLL RAW MLD,2,/,5,lb
1819,JUICE CRNBRY CKTAIL,24,/,10,oz
1820,ICE CREAM VAN GRAND,1,/,3,gal
1821,POPSICLE ASSORTED TWIN POP,48,/,3,oz
1822,ICE CREAM COFFEE,1,/,3,gal
1823,ICE CREAM CONE VANILLA CHAMP,24,/,4.6,oz
1824,PASTA LASAGNA SHEET PRCK WAV,32,/,5,oz
1825,DESSERT BAR BREAD PUDDIN BITES,4,/,3.9,lba
1826,CUCUMBER ENGLISH LONG,1,/,6,ct
1827,CHICKEN CVP BRST TENDER CLPD,4,/,10,lb
1828,TOMATO FRESH VINE RIPE,1,/,20,lb
1829,DOUGH ROLL CINN FZ TO OVN,200,/,1.5,oz
1830,TURKEY WHL HEN GR A 10-14 TMR,4,/,10-14,#
1831,FLOWER ORCHID DENDRBIUM EDIBLE,1,/,100,stm
1832,BREAKFAST BAR FRUITY CHEERIOS,96,/,1.42,oz
1833,WATER SPARKLING LMN 110Z,24,/,11,oz
1834,NOODLE UDON ORGANIC,10,/,12.8,z
1835,DRINK FRUIT SPRKL GRPFRT POMPL,12,/,11.16,z
1836,AVOCADO HASS GREEN FRESH,1,/,6,ct
1837,BOWL FOAM BLK HL 12 OZ,8,/,125,ct
1838,ICE CREAM VANILLA,1,/,3,gal
1839,SAUSAGE PORK LINK 60/40 RAW,1,/,10,lb
1840,LAMB RACK AUS 4764 FRCHD HALAL,12,/,26-28,z
1841,PIE BLUEBERRY RTB 10,6,/,46,oz
1842,TOWEL KITCHEN 9X11 2PLY JMBO,12,/,210,sht
1843,CUP PAPER CLD POLY 7OZ,24,/,50,ct
1844,BASIL FRESH HERB,1,/,8,oz
1845,SAGE FRESH HERB,1,/,4,oz
1846,CEREAL GRAIN HRT TO HRT BULK,4,/,48,oz
1847,TRAY PLASTIC 16 BLK,25,/,16,""""
1848,MILK SOY VAN ASEPTIC 32OZ,12,/,32,oz
1849,CHEESE MOZZ FRSH LOG,2,/,3,lb
1850,KIT CUTLERY KFSNAP CMPST ERTH,1,/,250,ct
1851,CREAMER REAL DAIRY HALF & HALF,384,/,9,ml
1852,SPOON PLAS REFILL PP SMTSK WHT,24,/,40,ct
1853,WRAP DRY WAX DELI 15X10.75,4,/,500,ct
1854,BAG PLAS RECLOS ZIP SEAL QUART,1000,/,,8x8
1855,ONION FRESH CIPPOLINI PLD,1,/,5,#
1856,FENNEL ANISE BUNCH FRSH,1,/,6,ct
1857,DRINK ICE PUNCH ALL STARS 12OZ,2,/,12,pk
1858,DRINK ENERGY RED BULL,24,/,8.4,oz
1859,BAG PAPER WHT MISSY 10X5X13,1,/,250,ct
1860,YOGURT STRAW/BAN GREEK 2%,12,/,5.3,oz
1861,PUDDING CHOCOLATE SNACK SGR FR,48,/,3.25,oz
1862,TOMATO FRESH HEIRLOOM ORGANIC,1,/,10,#
1863,BOWL PULP RND BIO 16OZ 6,500,/,16,oz
1864,VEAL STEW 395 BOB FRZ,2,/,5,# avg
1865,CAKE LEMON MEYER CURD,2,/,14,cut
1866,BEET SLI SAL MW,6,/,,#10
1867,TOMATO ROMA FRSH ORGANIC,1,/,25,lb
1868,MELON WATERMELON FRESH,1,/,1,ct
1869,MANGO FRESH,1,/,9-12,ct
1870,POTATO BAKING IDAHO 60CT FRSH,1,/,50,lb
1871,POTATO BAKING IDAHO 90CT FRSH,1,/,50,lb
1872,POTATO BAKING IDAHO 100CT FRSH,1,/,50,lb
1873,DILL BABY FRESH HERB,1,/,4,oz
1874,FORK PLAS REFILL BIO SMRTSTK,24,/,40,ct
1875,KNIFE PLAS REFILL BIO SMRTSTK,24,/,40,ct
1876,CHICKEN CVP BRST B/S 4 OZ,4,/,5,lb
1877,SAUCE TERIYAKI LESS SODIUM,5,/,6,lb
1878,CAKE SHEET YELLOW 1/2 UNICED,4,/,48,oz
1879,CHOPSTICK BAMBOO RED SLV 9,10,/,100,ct
1880,YOGURT RASPBERRY WHIPS,12,/,4,oz
1881,LID PLAS DOME LRG PRSNTABOWL,4,/,63,ct
1882,DOUGH BISCUIT WHL GRAIN RICH,216,/,2.51,oz
1883,CEREAL CHEERIO MLTIGR GLTN FR,96,/,1,oz
1884,SOLE FILET IQF 4 OZ,1,/,10,lb
1885,CAKE LYR COCONT RND,4,/,9,""""
1886,CAKE CHOC IND. FLOURLESS,8,/,4,ct
1887,CHEESE MOZZARELLA L/M PRT SKM,8,/,6,#avg
1888,PASTA GNOCCHI POTATO,3,/,4,lb
1889,SCALLOP PIECES FRESH,1,/,1,gal
1890,CEREAL OATMEAL MAPLE BRN SUG,24,/,1.69,oz
1891,CHEESE RICOTTA PART SKIM,6,/,48,oz
1892,LETTUCE FRESH ARCDN HRVST RUBY,3,/,2,lb
1893,SOUP CHICKEN GUMBO CONC,3,/,4,lb
1894,SPINACH CHOPPED BAG,12,/,3,lb
1895,BAND NAPKIN WHT 1.5X4.25,1,/,2500,ct
1896,CANDY BAR PEANUT BUTR CUP,2,/,36,ct
1897,TORTILLA FLOUR PLAIN GF XL,4,/,10,ct
1898,CUP HOT 8 OZ WPS PCF,1000,/,,ea
1899,CUP HOT 20 OZ SBC PCF,600,/,,ea
1900,CLEANER COFF EQUIP DIPITXP,8,/,1.75,lb
1901,CHEESE MONTEREY JACK PRINT,1,/,10,lb
1902,CHEESE CHEDDAR SHARP PRINT WHT,1,/,10,#avg
1903,TURKEY BREAST FILLET 4OZ,36,/,4,oz
1904,PEPPER SUNTAN FRSH,1,/,25,lb
1905,BARLEY PEARLED,12,/,16,oz
1906,ROLL CIABATTA SNDW,48,/,4.5,oz
1907,FILTER GREASE CONE 10 IN,1,/,50,ct
1908,CHICKEN MEAT PULLED 65D/35W LS,2,/,5,lb
1909,COOKIE DEVILFOOD FTFR,4,/,12,ct
1910,BREAD RYE MARBLE DELI SLI,10,/,24,oz
1911,POTATO CKD MASH REDSKIN TRDTNL,4,/,6,lb
1912,HAM SLICED CKD .5 OZ FRSH,4,/,3,lb
1913,WATER SPRING,24,/,.5,ltr
1914,POTATO BAKING IDAHO 70CTFRSH,1,/,50,lb
1915,TOMATO 1 LAYER FRESH,1,/,,5x6
1916,WATERCRESS FRESH,1,/,12,ct
1917,CHEESECAKE PLAIN NY 16CT 11,4,/,68,oz
1918,DOUGH CROISSANT CHOC,72,/,3.5,oz
1919,POTATO BAKING FRESH 90 CT,1,/,50,lb
1920,DOUGH CROISSANT MINI ASST FLD,108,/,,ct
1921,CHICKEN BRST LEG QTR IQF,60,/,8.5,oz
1922,ONION YELLOW JUMBO FRESH,1,/,50,lb
1923,PEPPER JALAPENO FRESH,1,/,20,lb
1924,STEAK SALISBURY UNBRD RAW,40,/,4,oz
1925,BANANA FRESH TIP GREEN,1,/,40,lb
1926,MELON CANTALOUPE FCY FRESH,1,/,6,ct
1927,LETTUCE FRISEE,1,/,12,ct
1928,TOPPING WHPD NON-DAIRY ON-TOP,12,/,16,oz
1929,BEAN GREEN CLEAN & TRIMMED,1,/,5,lb
1930,DOUGH COOKIE OTML CINNA RSN 3Z,104,/,3,oz
1931,OLIVE RIPE SLI,6,/,,#10
1932,CUP PAPER HOT PCF SMRP-12,1000,/,12,oz
1933,CUP PAPER HOT PCF SMRP-16,1000,/,16,oz
1934,COOKIE CHOC CHUNK BKD,108,/,1.33,oz
1935,CREAM HEAVY PLAS,16,/,1,qt
1936,"PICK WOOD BAMBOO PADDLE 4.5""",12,/,120,ct
1937,SNACK MIX SYZZLIN,12,/,1,lb
1938,PAD SCOUR GRN 6X9IN ANTIMICRO,1,/,20,ct
1939,ICE CREAM PECAN PRALINE,1,/,3,gal
1940,DOUGH ROLL CINNAMON LOG GOURM,9,/,3,lb
1941,CONTAINER PLAS HNG B/C 7.5DME,100,/,,ct
1942,CHEESE MOZZARELLA SHRD WHL MLK,6,/,5,lb
1943,CONTAINER PAPER #2 TAKEOUT BLK,140,/,,ct
1944,POTATO YELLOW YUKON GLD FRSH,1,/,50,lb
1945,TEA ICED CONC RASP 5.5+1,1,/,2.5,gal
1946,CABBAGE GREEN FRSH CARTON MED,1,/,50,lb
1947,LOBSTER MEAT WHL CLW KNKL NATL,3,/,8,lb
1948,SNACK CHEESE CRUNCHY XVL,28,/,3.25,oz
1949,CHICKEN BRST B\S BFLY RNDM NAE,4,/,5,lb
1950,JUICE ORANGE,4,/,1,gal
1951,BAND NAPKIN WHT 4.5X1.5,2,/,2000,ct
1952,PICKLE CHIP DELI KK1/4 WAFL,1,/,5,gal
1953,BAG PAPER BRN 6#,1,/,500,ct
1954,PORK RIB ST LOUIS 2-2.25# COV,4,/,4,pc
1955,DOUGH COOKIE OATMEAL RSN,108,/,3,oz
1956,CARROT WHL PEELED FRESH,1,/,20,lb
1957,GINGER FRESH ORGANIC,1,/,10,lb
1958,BATTER MUFFIN CORN,2,/,8,lb
1959,MUSHROOM LARGE FRESH,1,/,5,lb
1960,BATTER MUFFIN APPLE CINNAMON,2,/,7,lb
1961,SAUSAGE PORK LNK,96,/,2,oz
1962,DETERGENT POT PAN MONSOON,1,/,5,gal
1963,DOUGH STRUDEL STW CRM CHS STIX,96,/,2.75,oz
1964,CEREAL BRAN FLAKES ENRCHD,4,/,28,oz
1965,POTATO RED CREAMER FRESH,1,/,50,lb
1966,CHICKEN CVP WHL W/OG FRESH,16,/,2.75,#
1967,OKRA CUT IQF P,12,/,3,lb
1968,PLATE PAPER 5 7/8 WHT,4,/,250,ct
1969,EGG HARDBOILED WHL PILLOW PAK,8,/,18,ct
1970,CUP PAPER WHT HOT 8 OZ,20,/,50,ct
1971,TOMATO 1 LAYR FRSH 6X7,1,/,10,lb
1972,PORK ROLL,2,/,6,lb
1973,BASIL FRESH HERB,1,/,1,lb
1974,SAUCE SZECHWAN LOW SODIUM,5,/,6,lb
1975,CAKE LYR VARIETY 9,4,/,58,oz
1976,ICE CREAM MINT CHOC CHIP,1,/,3,gal
1977,CHERRY MARA PLAIN LG PLAS,4,/,1,gal
1978,CRACKER GRAHAM HNY W/CALCIUM,150,/,3,ct
1979,PICK SANDWICH BAMBOO KNOT 4,10,/,100,ct
1980,STIRRER COFFEE WOOD 5.5,10,/,1000,ct
1981,STRAWBERRY FRESH CALIF CLAMSHL,2,/,4,lb
1982,ICE CREAM SNDW COOKIES N CRM,24,/,4.5,oz
1983,MUSHROOM SLI ORGANIC,12,/,8,oz
1984,RICE ARBORIO ITAL SUPERFINO,10,/,1,kg
1985,FUEL CANNED HT HANDY WICK,24,/,2,hr
1986,PEACH SLICED IRREG IN EXTRA LS,6,/,,#10
1987,APRICOT HVS UNPL EXTRA LS,6,/,,# 10
1988,BAG PAPER WHT 16LB,1,/,500,ct
1989,DOUGH TURNOVER CHERRY,60,/,3.7,oz
1990,BOLOGNA STK ALL-BEEF NO END,1,/,10,lb
1991,PIE SHELL DEEP DISH LARD,20,/,9,in
1992,GLOVE NITRILE FDSRV PF BLU XL,10,/,100,ct
1993,CONTAINER PLAS HNG CLR 5IN,3,/,125,ct
1994,TOPPING WHIP SUGAR FREE ON TOP,12,/,16,oz
1995,CHIP TORTILLA TRI WHITE UNFRY,1,/,30,lb
1996,BEEF BRISKET FLAT CH,12,/,6,#av
1997,CHEESE PROVOLONE,3,/,12,#avg
1998,SKIRT TABLE PLAS WHT,6,/,,29x14
1999,CUCUMBER ENGLISH,1,/,12-16,c
2000,MUSHROOM SLI THIN PAIL,2,/,5,lb
2001,YOGURT BLUEBERRY GREEK,12,/,5.3,oz
2002,OIL OLIVE EXTRA VIRGIN,4,/,3,ltr
2003,TOWEL PAPER CNTRFEED 2PLY WHT,6,/,600,sht
2004,LID PLAS DOME F/SMRTLK TRAY CL,25,/,18,""""
2005,STRAW PLAS WRPD JMBO BLK 7.75,12,/,500,ct
2006,SNACK BAR PEANUT BUTR CHOC,6,/,12,ct
2007,SAUCE CHEESE NACHO ZTF,6,/,,#10
2008,TILAPIA FIL IQF 3-5 OZ RAW,1,/,10,lb
2009,BEEF GRND BULK 81/19 CHUB,8,/,10,#av
2010,KIT CUTLERY HVY FSK,250,/,,ct
2011,YOGURT PEACH OIKOS GREEK,12,/,5.3,oz
2012,MILK HOMO DSPNSR,1,/,5,gal
2013,BAG SAND GRSPF NAT 6X3/4X6 3/4,1,/,1000,ct
2014,GLOVE VINYL FDSVC PF SML,10,/,100,ct
2015,SQUASH YELLOW FCY FRESH,1,/,20,lb
2016,DOUGH ROLL GOLDEN NUGGET,180,/,1.25,oz
2017,MUFFIN BLUEBERRY 2 1/8 OZ,4,/,24,ct
2018,CAKE POUND,12,/,16,oz
2019,CATFISH FIL SHANK 3-5 OZ USA,1,/,15,lb
2020,CATFISH FIL SHANK 5-7 OZ USA,1,/,15,lb
2021,TURNIP FRESH,1,/,25,lb
2022,CONTAINER PLAS WDG SAFE-T-FRSH,288,/,,ct
2023,LIVERWURST BRAUNSCHWEIGER CELO,3,/,4,#avg
2024,QUINOA GRAIN WHT,6,/,2,lb
2025,LETTUCE GREEN LEAF FDSVC FRESH,1,/,12,ct
2026,SAUSAGE POLISH 6,5,/,2,lb
2027,SALAMI GENOA,2,/,5,#avg
2028,CARROT FRESH JUMBO,1,/,25,#
2029,MUSHROOM FOODSERVICE FRESH,1,/,10,lb
2030,DOUGH ROLL DINNER WHEAT,240,/,1.5,oz
2031,ICE CREAM VAN,1,/,3,gal
2032,SQUASH BUTTERNUT FRESH,1,/,40,lb
2033,CABBAGE RED SHRD FRSH,4,/,5,lb
2034,POTATO BAKING FL WRP 90CT FRSH,1,/,50,lb
2035,NAPKIN DNR 15X17 2PLY BGNDY,8,/,125,ct
2036,NAPKIN DNR 15X17 2PLY 1/8F RED,8,/,125,ct
2037,LID PLAS FLAT F/24-40 OZ BOWLS,400,/,,ct
2038,BEEF EYE OF RND CH 171C,15,/,5,#avg
2039,BLUEBERRY CULT IQF GR A P,2,/,5,lb
2040,SODA CLUB,24,/,10,oz
2041,LID PLAS WHT F/8/12/16 SOUPCUP,20,/,50,ct
2042,MARGARINE SPREAD CUP,600,/,5,gm
2043,LID DOME RECYCLE F/9 PLATE,6,/,50,ct
2044,VINEGAR MALT,12,/,12,oz
2045,SALMON WHL HDON NORW 9-11LBFRS,1,/,20,#avg
2046,TEA ICED CONC SWEET,1,/,2.5,gal
2047,APTZR EGGROLL PORK/VEG 1.5 OZ,6,/,24,ct
2048,LID PLAS DOME SIP BLK F/12S-20,12,/,100,ct
2049,POTATO WEDGE ORIG BTR,6,/,5,lb
2050,KALE FLOWERING PURPLE FRESH,1,/,24,ct
2051,FLOUR RICE,1,/,25,lb
2052,PORK RIB LOIN BCK 2.25-2.0#PLD,4,/,4,pc
2053,SAUSAGE ITAL SWEET BULK RAW,2,/,5,lb
2054,GINGER ROOT FRESH,1,/,3,lb
2055,BOWL PAPER PULP WHT 4 OZ,8,/,250,ct
2056,WAFFLE BELGIAN,72,/,2.4,oz
2057,CHICKEN BRST AIRLINE NAE 8-10Z,1,/,10,lb
2058,LETTUCE RED LEAF FRESH W/LINER,1,/,24,ct
2059,ICE CREAM LACTAID VAN,24,/,4,oz
2060,SAUSAGE MEXICAN CHORIZO BULK,2,/,5,lb
2061,CHICKEN CVP 8PC CUT FRESH,16,/,2.5,#av
2062,CHICKEN CVP 8PC CUT FRESH TRIM,16,/,2.75,#
2063,DATE DRIED,1,/,5,lb
2064,TRAY FOAM 12X16 CARRY WHT,1,/,100,ct
2065,DRINK FRUIT SPRKL ORNG ROSSA,12,/,11.16,z
2066,LETTUCE ICEBERG PREMIUM PLTIZD,1,/,24,ct
2067,WATER SPRING,18,/,1,ltr
2068,PASTA SHELL STFD W/CHEESE,96,/,2,oz
2069,PLATE PLAS MSTRPCE W/GLD BAND,150,/,6,""""
2070,LETTUCE SAL MIX SIGNATURE BLND,4,/,2.5,lb
2071,TORTILLA CORN WHT 6 IN,12,/,60,ct
2072,KALE CLEAN READY TO USE,4,/,2.5,lb
2073,SUGAR GRANULATED XFINE CANE,10,/,4,lb
2074,CARTON CARRY BARN 10LB,3,/,50,ct
2075,CUP PAPER HOT WHT SQT 10OZ,20,/,50,ct
2076,LAMB FORESHANK DOM 210 FRZ,12,/,18-26,z
2077,SOLE FILET FRSH,1,/,10,lb
2078,LETTUCE FRISSEE BABY FRESH,1,/,12,ct
2079,TEA ICED CONC UNSWEET 11+1,3,/,3,ltr
2080,SKEWER BAMBOO 8 IN,10,/,,10/0100
2081,DANISH PASTRY ASST MINI,88,/,2,oz
2082,DRINK APPLE EVER FRSH,32,/,6.75,oz
2083,PEPPER RED FRESNO FRESH,1,/,10,lb
2084,TOMATO FRESH HEIRLOOM ORGANIC,12,/,1,lb
2085,YOGURT KEY LIME PIE WHIPS,12,/,4,oz
2086,LID PLAS WHT F/8/12/16 SOUPCUP,20,/,50,ct
2087,YOGURT STWBRY GREEK NON FAT,12,/,5.3,oz
2088,ORANGE NAVEL FCY FRESH,1,/,113,ct
2089,ORANGE NAVEL CH FRESH,1,/,88,ct
2090,GLOVE VINYL PF XXL,10,/,100,ct
2091,PORK CHOP CC B/I 5OZ XTRA TNDR,1,/,10,lb
2092,BEEF ROAST TOP RND C\O MED DF,2,/,6,#avg
2093,EGG CHOPPED W/YOLK TOPPING,4,/,5,lb
2094,COBBLER APL RTB,4,/,80,oz
2095,DOUGH PASTRY PUFF SHEET,20,/,12,oz
2096,PUMPKIN SEED PEPITAS RAW,1,/,5,lb
2097,TOMATO HOT HOUSE FRESH,1,/,15,lb
2098,"BREAD PULLMAN CIN RSN 4X4""1/2",10,/,1,ct
2099,DUCK WHL LONG ISLD,6,/,6,lb
2100,BLUEBERRY WILD MAINE IQF,2,/,5,lb
2101,ICE ITALIAN ORANGE CUP,72,/,4,oz
2102,CHEESE AMER LOAF SPEC MLT WHT,6,/,5,lb
2103,SOUP CHOWDER CLAM NEW ENG CONC,3,/,4,lb
2104,PORK TENDERLOIN TRIMMED,12,/,1.25,#a
2105,PASTA ORZO,12,/,1,lb
2106,SQUASH YELLOW ORGANIC,1,/,20,lb
2107,FILLING PIE BLUEBERRY,6,/,,#10
2108,CUP PLAS PET 12OZ SQUAT ULTRCL,20,/,50,ct
2109,EGGPLANT FANCY FRSH,1,/,,bushel
2110,PINEAPPLE SLICED IN HEAVYSYRUP,12,/,20,oz
2111,COOKIE FUDGE STRIPE MINI,60,/,2,oz
2112,CONTAINER PLAS MCRO BLK W/L 7,150,/,32,oz
2113,MIX CORNBREAD TRDTNL COMPLT,6,/,5,lb
2114,SAGE FRESH ORGANIC,3,/,,.75
2115,PORK BELLY FUL CKD BNLS ALL NT,4,/,2,# av
2116,KETCHUP BTLD ORGANIC,6,/,14,oz
2117,PLATE PLAS BLK IMPACT 10.25,4,/,125,ct
2118,COOKIE CHOC CHIP 324 CT,1,/,10,lb
2119,PRETZEL TINY TWIST,120,/,.5,oz
2120,TOMATO VINE RIPE RED 2 LAYER,1,/,,4x5
2121,BOWL PAPER ENVIRO VINES,1000,/,12,oz
2122,DRINK ENERGY RED BULL SF,24,/,12,oz
2123,WIPER TOWEL 13.5X18 SERTUN YEL,1,/,150,ct
2124,BANANA PLANTAIN SLI IQF,4,/,6,lb
2125,CHERRY MARA HALF PLAS,6,/,.5,gal
2126,BREAD PULLMAN WHEAT 1/2 SLI,10,/,32,oz
2127,WATER DISTILLED,6,/,1,gal
2128,TOMATO DICED W/GREEN CHILES CA,12,/,28,oz
2129,HAM APLWD ULTIMATE CARVING,2,/,6-11,lb
2130,MUSHROOM SLICED THIN FRSH,1,/,5,lb
2131,PEANUT SALTED,48,/,1.75,oz
2132,COOKIE VANILLA WAFR,12,/,13.33,z
2133,PASTA RAVIOLI BUTTERNUT SQUASH,2,/,2.5,lb
